"zip_code","longitude","latitude","population","median_age","percent_male","percent_female","total_households","avg_household_size"
90001,-118.2468,33.9698,57110,26.6,49.8476624058834,50.1523375941166,12971,4.4
90002,-118.2497,33.9511,51223,25.5,48.5641215860063,51.4358784139937,11731,4.36
90003,-118.2731,33.9658,66266,26.3,49.2424471071138,50.7575528928862,15642,4.22
90004,-118.3082,34.0749,62180,34.8,50.3409456416854,49.6590543583146,22547,2.73
90005,-118.3097,34.0579,37681,33.9,51.2167936095114,48.7832063904886,15044,2.5
90006,-118.2965,34.0471,59185,32.4,51.1176818450621,48.8823181549379,18617,3.13
90007,-118.28486,34.02819,40920,24,51.1119257086999,48.8880742913001,11944,3
90008,-118.3491,34.0083,32327,39.7,44.7829987317103,55.2170012682897,13841,2.33
90010,-118.3089,34.0625,3800,37.8,49.3157894736842,50.6842105263158,2014,1.87
90011,-118.2585,34.0079,103892,26.2,50.8162322411735,49.1837677588265,22168,4.67
90012,-118.2439,34.0653,31103,36.3,62.6724110214449,37.3275889785551,10327,2.12
90013,-118.2406,34.0446,11772,44.6,64.8063200815494,35.1936799184506,6416,1.26
90014,-118.252267,34.043027,7005,44.8,63.8258386866524,36.1741613133476,4109,1.34
90015,-118.2673,34.039,18986,31.3,51.7907932160539,48.2092067839461,7420,2.45
90016,-118.352,34.0255,47596,33.9,47.8569627699807,52.1430372300193,16145,2.93
90017,-118.2673,34.0544,23768,29.4,53.929653315382,46.070346684618,9338,2.53
90018,-118.3199,34.031,49310,33.2,48.205232204421,51.794767795579,15493,3.12
90019,-118.3404,34.0489,64458,35.8,48.7790499239815,51.2209500760185,23344,2.7
90020,-118.3097,34.0656,38967,34.6,49.7369569122591,50.2630430877409,16514,2.35
90021,-118.238,34.0309,3951,44.3,70.6150341685649,29.3849658314351,1561,1.57
90022,-118.1532,34.0238,67179,29.8,49.4440226856607,50.5559773143393,17023,3.94
90023,-118.2,34.0224,45903,28.4,50.1862623357951,49.813737664205,10727,4.26
90024,-118.4368,34.0631,47452,23.6,46.8852735395768,53.1147264604232,17903,2.03
90025,-118.4484,34.0449,42147,34.7,49.4910669798562,50.5089330201438,21228,1.97
90026,-118.2585,34.0796,67869,34,50.855324227556,49.144675772444,24956,2.68
90027,-118.2936,34.1221,45151,38.3,49.5271422559855,50.4728577440145,21929,1.99
90028,-118.3257,34.1012,28714,34,55.9169742982517,44.0830257017483,14964,1.78
90029,-118.2965,34.0881,38617,34.6,50.6901105730637,49.3098894269363,13883,2.7
90031,-118.2117,34.081,39316,33.5,49.7151287007834,50.2848712992166,11156,3.49
90032,-118.1766,34.0795,45786,32.4,49.2814397414057,50.7185602585943,12765,3.52
90033,-118.21165,34.05117,48852,29.2,49.9979530009007,50.0020469990993,12924,3.66
90034,-118.3959,34.0325,57964,32.8,49.7343178524601,50.2656821475398,25592,2.23
90035,-118.3842,34.0508,28418,37.5,46.8928144134,53.1071855866,12814,2.19
90036,-118.352,34.0665,36865,33.9,48.5935168859352,51.4064831140648,18646,1.96
90037,-118.2819,34.0021,62276,28.8,50.0786819962746,49.9213180037254,15869,3.85
90038,-118.3316,34.0895,28917,33.1,53.1970813016565,46.8029186983435,11928,2.41
90039,-118.2585,34.1103,28514,38.8,50.4418881952725,49.5581118047275,11436,2.47
90040,-118.1532,33.993,12520,31.2,48.9536741214057,51.0463258785942,3317,3.75
90041,-118.2117,34.1322,27425,39,48.1750227894257,51.8249772105743,9513,2.71
90042,-118.1883,34.1176,62430,33.6,49.3929200704789,50.6070799295211,19892,3.11
90043,-118.3287,33.9904,44789,38.7,45.9063609368372,54.0936390631628,16075,2.76
90044,-118.2936,33.9479,89779,28.6,48.0379598792591,51.9620401207409,25144,3.55
90045,-118.3876,33.9516,39480,35.6,48.0192502532928,51.9807497467072,15224,2.37
90046,-118.3637,34.1147,48581,38.5,53.2183363866532,46.7816636133468,28534,1.69
90047,-118.30899,33.95456,48606,36.2,45.5273011562359,54.4726988437641,16168,2.99
90048,-118.3725,34.0742,21397,39.2,47.3524325840071,52.6475674159929,11821,1.77
90049,-118.4981,34.0963,35482,41.3,46.1050673580971,53.8949326419029,16657,2.09
90056,-118.3666,33.9886,7827,48.4,43.8993228567778,56.1006771432222,3371,2.32
90057,-118.279,34.0617,44998,31.2,54.0024001066714,45.9975998933286,15658,2.81
90058,-118.2234,34.0064,3223,26,48.2469748681353,51.7530251318647,892,3.6
90059,-118.245186,33.92071,40952,25.7,47.9170736471967,52.0829263528033,9596,4.19
90061,-118.2731,33.9196,26872,28.4,48.5598392378684,51.4401607621316,6892,3.85
90062,-118.3082,34.0032,32821,31.8,47.896164041315,52.103835958685,9155,3.55
